Load Forecast,Time Stamp
425,2018-05-01 00:00:00
421,2018-05-01 01:00:00
417,2018-05-01 02:00:00
416,2018-05-01 03:00:00
423,2018-05-01 04:00:00
442,2018-05-01 05:00:00
467,2018-05-01 06:00:00
484,2018-05-01 07:00:00
484,2018-05-01 08:00:00
477,2018-05-01 09:00:00
473,2018-05-01 10:00:00
469,2018-05-01 11:00:00
467,2018-05-01 12:00:00
464,2018-05-01 13:00:00
459,2018-05-01 14:00:00
454,2018-05-01 15:00:00
456,2018-05-01 16:00:00
456,2018-05-01 17:00:00
457,2018-05-01 18:00:00
460,2018-05-01 19:00:00
465,2018-05-01 20:00:00
456,2018-05-01 21:00:00
436,2018-05-01 22:00:00
422,2018-05-01 23:00:00
415,2018-05-02 00:00:00
411,2018-05-02 01:00:00
407,2018-05-02 02:00:00
406,2018-05-02 03:00:00
411,2018-05-02 04:00:00
426,2018-05-02 05:00:00
446,2018-05-02 06:00:00
460,2018-05-02 07:00:00
462,2018-05-02 08:00:00
462,2018-05-02 09:00:00
463,2018-05-02 10:00:00
464,2018-05-02 11:00:00
463,2018-05-02 12:00:00
463,2018-05-02 13:00:00
463,2018-05-02 14:00:00
462,2018-05-02 15:00:00
464,2018-05-02 16:00:00
463,2018-05-02 17:00:00
462,2018-05-02 18:00:00
463,2018-05-02 19:00:00
466,2018-05-02 20:00:00
459,2018-05-02 21:00:00
442,2018-05-02 22:00:00
426,2018-05-02 23:00:00
412,2018-05-03 00:00:00
407,2018-05-03 01:00:00
404,2018-05-03 02:00:00
403,2018-05-03 03:00:00
406,2018-05-03 04:00:00
418,2018-05-03 05:00:00
433,2018-05-03 06:00:00
447,2018-05-03 07:00:00
450,2018-05-03 08:00:00
451,2018-05-03 09:00:00
452,2018-05-03 10:00:00
453,2018-05-03 11:00:00
453,2018-05-03 12:00:00
453,2018-05-03 13:00:00
451,2018-05-03 14:00:00
451,2018-05-03 15:00:00
453,2018-05-03 16:00:00
452,2018-05-03 17:00:00
450,2018-05-03 18:00:00
450,2018-05-03 19:00:00
452,2018-05-03 20:00:00
446,2018-05-03 21:00:00
432,2018-05-03 22:00:00
420,2018-05-03 23:00:00
411,2018-05-04 00:00:00
405,2018-05-04 01:00:00
402,2018-05-04 02:00:00
401,2018-05-04 03:00:00
405,2018-05-04 04:00:00
417,2018-05-04 05:00:00
435,2018-05-04 06:00:00
450,2018-05-04 07:00:00
453,2018-05-04 08:00:00
454,2018-05-04 09:00:00
455,2018-05-04 10:00:00
454,2018-05-04 11:00:00
453,2018-05-04 12:00:00
452,2018-05-04 13:00:00
449,2018-05-04 14:00:00
446,2018-05-04 15:00:00
447,2018-05-04 16:00:00
445,2018-05-04 17:00:00
442,2018-05-04 18:00:00
441,2018-05-04 19:00:00
445,2018-05-04 20:00:00
442,2018-05-04 21:00:00
431,2018-05-04 22:00:00
420,2018-05-04 23:00:00
407,2018-05-05 00:00:00
402,2018-05-05 01:00:00
398,2018-05-05 02:00:00
398,2018-05-05 03:00:00
399,2018-05-05 04:00:00
405,2018-05-05 05:00:00
411,2018-05-05 06:00:00
422,2018-05-05 07:00:00
432,2018-05-05 08:00:00
436,2018-05-05 09:00:00
436,2018-05-05 10:00:00
435,2018-05-05 11:00:00
434,2018-05-05 12:00:00
430,2018-05-05 13:00:00
427,2018-05-05 14:00:00
425,2018-05-05 15:00:00
427,2018-05-05 16:00:00
428,2018-05-05 17:00:00
428,2018-05-05 18:00:00
429,2018-05-05 19:00:00
434,2018-05-05 20:00:00
433,2018-05-05 21:00:00
424,2018-05-05 22:00:00
415,2018-05-05 23:00:00
408,2018-05-06 00:00:00
405,2018-05-06 01:00:00
402,2018-05-06 02:00:00
401,2018-05-06 03:00:00
405,2018-05-06 04:00:00
411,2018-05-06 05:00:00
418,2018-05-06 06:00:00
431,2018-05-06 07:00:00
445,2018-05-06 08:00:00
450,2018-05-06 09:00:00
450,2018-05-06 10:00:00
448,2018-05-06 11:00:00
445,2018-05-06 12:00:00
441,2018-05-06 13:00:00
435,2018-05-06 14:00:00
433,2018-05-06 15:00:00
437,2018-05-06 16:00:00
439,2018-05-06 17:00:00
439,2018-05-06 18:00:00
442,2018-05-06 19:00:00
450,2018-05-06 20:00:00
445,2018-05-06 21:00:00
430,2018-05-06 22:00:00
418,2018-05-06 23:00:00
