Load Forecast,Time Stamp
175,2019-04-25 00:00:00
166,2019-04-25 01:00:00
161,2019-04-25 02:00:00
159,2019-04-25 03:00:00
164,2019-04-25 04:00:00
183,2019-04-25 05:00:00
214,2019-04-25 06:00:00
235,2019-04-25 07:00:00
238,2019-04-25 08:00:00
237,2019-04-25 09:00:00
237,2019-04-25 10:00:00
239,2019-04-25 11:00:00
236,2019-04-25 12:00:00
234,2019-04-25 13:00:00
230,2019-04-25 14:00:00
230,2019-04-25 15:00:00
230,2019-04-25 16:00:00
234,2019-04-25 17:00:00
241,2019-04-25 18:00:00
249,2019-04-25 19:00:00
258,2019-04-25 20:00:00
245,2019-04-25 21:00:00
218,2019-04-25 22:00:00
192,2019-04-25 23:00:00
182,2019-04-26 00:00:00
172,2019-04-26 01:00:00
167,2019-04-26 02:00:00
165,2019-04-26 03:00:00
169,2019-04-26 04:00:00
186,2019-04-26 05:00:00
217,2019-04-26 06:00:00
240,2019-04-26 07:00:00
250,2019-04-26 08:00:00
256,2019-04-26 09:00:00
259,2019-04-26 10:00:00
260,2019-04-26 11:00:00
258,2019-04-26 12:00:00
256,2019-04-26 13:00:00
252,2019-04-26 14:00:00
251,2019-04-26 15:00:00
251,2019-04-26 16:00:00
251,2019-04-26 17:00:00
253,2019-04-26 18:00:00
257,2019-04-26 19:00:00
263,2019-04-26 20:00:00
252,2019-04-26 21:00:00
229,2019-04-26 22:00:00
205,2019-04-26 23:00:00
194,2019-04-27 00:00:00
182,2019-04-27 01:00:00
176,2019-04-27 02:00:00
172,2019-04-27 03:00:00
173,2019-04-27 04:00:00
180,2019-04-27 05:00:00
192,2019-04-27 06:00:00
208,2019-04-27 07:00:00
225,2019-04-27 08:00:00
237,2019-04-27 09:00:00
242,2019-04-27 10:00:00
239,2019-04-27 11:00:00
235,2019-04-27 12:00:00
231,2019-04-27 13:00:00
227,2019-04-27 14:00:00
225,2019-04-27 15:00:00
228,2019-04-27 16:00:00
232,2019-04-27 17:00:00
235,2019-04-27 18:00:00
241,2019-04-27 19:00:00
251,2019-04-27 20:00:00
245,2019-04-27 21:00:00
229,2019-04-27 22:00:00
210,2019-04-27 23:00:00
191,2019-04-28 00:00:00
180,2019-04-28 01:00:00
173,2019-04-28 02:00:00
169,2019-04-28 03:00:00
170,2019-04-28 04:00:00
175,2019-04-28 05:00:00
183,2019-04-28 06:00:00
195,2019-04-28 07:00:00
209,2019-04-28 08:00:00
222,2019-04-28 09:00:00
228,2019-04-28 10:00:00
232,2019-04-28 11:00:00
231,2019-04-28 12:00:00
229,2019-04-28 13:00:00
225,2019-04-28 14:00:00
224,2019-04-28 15:00:00
226,2019-04-28 16:00:00
231,2019-04-28 17:00:00
236,2019-04-28 18:00:00
244,2019-04-28 19:00:00
255,2019-04-28 20:00:00
245,2019-04-28 21:00:00
223,2019-04-28 22:00:00
200,2019-04-28 23:00:00
176,2019-04-29 00:00:00
168,2019-04-29 01:00:00
165,2019-04-29 02:00:00
164,2019-04-29 03:00:00
170,2019-04-29 04:00:00
189,2019-04-29 05:00:00
221,2019-04-29 06:00:00
241,2019-04-29 07:00:00
243,2019-04-29 08:00:00
241,2019-04-29 09:00:00
240,2019-04-29 10:00:00
238,2019-04-29 11:00:00
235,2019-04-29 12:00:00
232,2019-04-29 13:00:00
229,2019-04-29 14:00:00
229,2019-04-29 15:00:00
232,2019-04-29 16:00:00
238,2019-04-29 17:00:00
246,2019-04-29 18:00:00
254,2019-04-29 19:00:00
263,2019-04-29 20:00:00
250,2019-04-29 21:00:00
223,2019-04-29 22:00:00
196,2019-04-29 23:00:00
177,2019-04-30 00:00:00
168,2019-04-30 01:00:00
164,2019-04-30 02:00:00
162,2019-04-30 03:00:00
166,2019-04-30 04:00:00
184,2019-04-30 05:00:00
216,2019-04-30 06:00:00
238,2019-04-30 07:00:00
243,2019-04-30 08:00:00
244,2019-04-30 09:00:00
245,2019-04-30 10:00:00
243,2019-04-30 11:00:00
241,2019-04-30 12:00:00
238,2019-04-30 13:00:00
235,2019-04-30 14:00:00
235,2019-04-30 15:00:00
237,2019-04-30 16:00:00
241,2019-04-30 17:00:00
249,2019-04-30 18:00:00
256,2019-04-30 19:00:00
264,2019-04-30 20:00:00
250,2019-04-30 21:00:00
222,2019-04-30 22:00:00
195,2019-04-30 23:00:00
