Load Forecast,Time Stamp
233,2019-04-03 00:00:00
221,2019-04-03 01:00:00
216,2019-04-03 02:00:00
215,2019-04-03 03:00:00
220,2019-04-03 04:00:00
241,2019-04-03 05:00:00
277,2019-04-03 06:00:00
300,2019-04-03 07:00:00
303,2019-04-03 08:00:00
299,2019-04-03 09:00:00
295,2019-04-03 10:00:00
284,2019-04-03 11:00:00
278,2019-04-03 12:00:00
274,2019-04-03 13:00:00
271,2019-04-03 14:00:00
270,2019-04-03 15:00:00
274,2019-04-03 16:00:00
283,2019-04-03 17:00:00
294,2019-04-03 18:00:00
310,2019-04-03 19:00:00
317,2019-04-03 20:00:00
301,2019-04-03 21:00:00
271,2019-04-03 22:00:00
240,2019-04-03 23:00:00
217,2019-04-04 00:00:00
206,2019-04-04 01:00:00
201,2019-04-04 02:00:00
200,2019-04-04 03:00:00
205,2019-04-04 04:00:00
226,2019-04-04 05:00:00
261,2019-04-04 06:00:00
284,2019-04-04 07:00:00
287,2019-04-04 08:00:00
284,2019-04-04 09:00:00
284,2019-04-04 10:00:00
285,2019-04-04 11:00:00
282,2019-04-04 12:00:00
278,2019-04-04 13:00:00
275,2019-04-04 14:00:00
275,2019-04-04 15:00:00
276,2019-04-04 16:00:00
284,2019-04-04 17:00:00
295,2019-04-04 18:00:00
310,2019-04-04 19:00:00
315,2019-04-04 20:00:00
298,2019-04-04 21:00:00
271,2019-04-04 22:00:00
244,2019-04-04 23:00:00
229,2019-04-05 00:00:00
218,2019-04-05 01:00:00
213,2019-04-05 02:00:00
211,2019-04-05 03:00:00
216,2019-04-05 04:00:00
236,2019-04-05 05:00:00
270,2019-04-05 06:00:00
296,2019-04-05 07:00:00
306,2019-04-05 08:00:00
310,2019-04-05 09:00:00
315,2019-04-05 10:00:00
316,2019-04-05 11:00:00
314,2019-04-05 12:00:00
312,2019-04-05 13:00:00
308,2019-04-05 14:00:00
306,2019-04-05 15:00:00
306,2019-04-05 16:00:00
309,2019-04-05 17:00:00
315,2019-04-05 18:00:00
325,2019-04-05 19:00:00
327,2019-04-05 20:00:00
313,2019-04-05 21:00:00
291,2019-04-05 22:00:00
264,2019-04-05 23:00:00
234,2019-04-06 00:00:00
219,2019-04-06 01:00:00
211,2019-04-06 02:00:00
208,2019-04-06 03:00:00
209,2019-04-06 04:00:00
217,2019-04-06 05:00:00
230,2019-04-06 06:00:00
249,2019-04-06 07:00:00
268,2019-04-06 08:00:00
279,2019-04-06 09:00:00
284,2019-04-06 10:00:00
282,2019-04-06 11:00:00
279,2019-04-06 12:00:00
273,2019-04-06 13:00:00
267,2019-04-06 14:00:00
264,2019-04-06 15:00:00
264,2019-04-06 16:00:00
267,2019-04-06 17:00:00
271,2019-04-06 18:00:00
283,2019-04-06 19:00:00
290,2019-04-06 20:00:00
280,2019-04-06 21:00:00
264,2019-04-06 22:00:00
243,2019-04-06 23:00:00
226,2019-04-07 00:00:00
211,2019-04-07 01:00:00
203,2019-04-07 02:00:00
199,2019-04-07 03:00:00
199,2019-04-07 04:00:00
206,2019-04-07 05:00:00
218,2019-04-07 06:00:00
233,2019-04-07 07:00:00
250,2019-04-07 08:00:00
264,2019-04-07 09:00:00
270,2019-04-07 10:00:00
274,2019-04-07 11:00:00
272,2019-04-07 12:00:00
268,2019-04-07 13:00:00
262,2019-04-07 14:00:00
260,2019-04-07 15:00:00
261,2019-04-07 16:00:00
268,2019-04-07 17:00:00
276,2019-04-07 18:00:00
293,2019-04-07 19:00:00
302,2019-04-07 20:00:00
286,2019-04-07 21:00:00
260,2019-04-07 22:00:00
231,2019-04-07 23:00:00
214,2019-04-08 00:00:00
203,2019-04-08 01:00:00
199,2019-04-08 02:00:00
198,2019-04-08 03:00:00
204,2019-04-08 04:00:00
227,2019-04-08 05:00:00
264,2019-04-08 06:00:00
291,2019-04-08 07:00:00
298,2019-04-08 08:00:00
298,2019-04-08 09:00:00
298,2019-04-08 10:00:00
298,2019-04-08 11:00:00
295,2019-04-08 12:00:00
292,2019-04-08 13:00:00
287,2019-04-08 14:00:00
285,2019-04-08 15:00:00
285,2019-04-08 16:00:00
290,2019-04-08 17:00:00
300,2019-04-08 18:00:00
315,2019-04-08 19:00:00
321,2019-04-08 20:00:00
302,2019-04-08 21:00:00
269,2019-04-08 22:00:00
236,2019-04-08 23:00:00
